ꢂꢖ꣄ꢔꢸꢱꣁ,अङ्गुसा॑,அங்கு3ஸொ,anguso',aGgusO,aṅgusŏ,əŋgus̪o,iron rod of mahout,அங்குசம்  
ꢡꢥꢵ ꢬꢾꢞꣁ,तना र॑डा॑,தனா ரெ:டொ3,tanaa re'd'o',tanA rEDO,tanā rĕḍŏ,t̪ən̪ɑː ɾeɖo,spinning wheel,ராட்டை  
ꢬꢾꢞꣁ,र॑डा॑ चर्का र॑डा॑,ரெ:டொ3,re'd'o',rEDO,rĕḍŏ,ɾeɖo,spinning wheel,ராட்டை  
ꢗꢬ꣄ꢒꢵ ꢬꢾꢞꣁ,र॑डा॑ चर्का र॑डा॑,சர்கா ரெ:டொ3,charkaa re'd'o',carkA rEDO,carkā rĕḍŏ,t͡ʃəɾkɑː ɾeɖo,spinning wheel,ராட்டை  
ꢦꣁꢬꢜꢶꢥ꣄,पा॑रटिन,பொரடின்,po'rat'in,pOraTin,pŏraṭin,poɾəʈɪn̪,Washer woman,வண்ணாத்தி  
ꢦꣁꢭ꣄ꢜꢶꢥ꣄,पा॑ल्टिन,பொள்டின்,po'lt'in,pOlTin,pŏlṭin,polʈɪn̪,Washer woman,வண்ணாத்தி  
ꢒꣁꢬꢜ꣄,का॑रट,கொரட்,ko'rat',kOraT,kŏraṭ,koɾəʈ,Cutting plier/wrench,குறடு
ꢧꢶꢬꢸꢞꢵꢮ꣄,फिरुडाव,பி2ருடா3வ்,phirud'aav,phiruDAv,phiruḍāv,pʰɪɾuɖɑːʋ,screw driver ,திருப்புளி
ꢪꢹꢬ꣄,मूर,மூர்,moor,mUr,mūr,muːɾ,hammer,சுத்தியல்
ꢪꢸꢬꣁ,मुरा॑,முரொ,muro',murO,murŏ,muɾo,hammer,சுத்தியல்
ꢱꢸꢡ꣄ꢡꢶꢫꢭ꣄,सुत्तियल,ஸுத்தியல்,suttiyal,suttiyal,suttiyal,s̪ut̪t̪ɪjəl,hammer,சுத்தியல்
ꢓꢿꢥꢸ,खेनु,கே2னு,khenu,khenu,khenu,kʰeːn̪u,,குறகு
ꢓꣂꢥꢸ,खोनु,கோ2னு,khonu,khonu,khonu,kʰoːn̪u,,குறகு
ꢦꣁꢬꢜ꣄,पा॑रट,பொரட்,po'rat',pOraT,pŏraṭ,poɾəʈ,washerman,வண்ணான்
ꢦꣁꢳ꣄꣄ꢜꣁ,पा॑ळ्टा॑,பொள்டொ,po'l't'o',pOLTO,pŏl̤ṭŏ,poɭʈo,washerman,வண்ணான்
ꢨꢶꢫꢵꢬ꣄,भियार,பி4யார்,biyaar,biyAr,biyār,bɪjɑːɾ,business,வணிகம்  
ꢨꢶꢫꢵꢬ꣄ꢗꢵꢬ꣄,भियार्सार,பி4யார்ஸார்,biyaarchaar,biyArcAr,biyārcār,bɪjɑːɾt͡ʃɑːɾ,business,வணிகம்  
ꢮꢠꢷ,वणि,வணி,vanee,vaNI,vaṇī,ʋəɳiː,businessman,வணிகன்  
ꢮꢠꢶꢒ꣄,वणिक,வணிக்,vanik,vaNik,vaṇik,ʋəɳɪk,businessman,வணிகன்  
ꢦꢾꢫ꣄ꢬ꣄,पेय्र्,பெய்ர்,pe'yr,pEyr,pĕyr,pejɾ,field,வயல்  
ꢒꢾꢡ꣄,केत्,கே2த்,ke't,kEt,kĕt,ket̪,field,வயல்  
ꢙꢵꢭ꣄,जाल्,ஜால்,jaal,jAl,jāl,d͡ʒɑːl,net,வலை  
ꢏꢭꣁ,आ॑ला॑,ஒலொ,o'lo',OlO,ŏlŏ,olo,net,வலை  
ꢮꢵꢜ꣄ꢣꢾꢓ꣄ꢒꢜ꣄ꢥꢵꢬ꣄,वाट द॑खट्नार,வாட்தெ2க2ட்னார்,vaat'de'khkat'naar,vATdEkhkaTnAr,vāṭdĕkhkaṭnār,ʋɑːʈd̪ekʰkəʈn̪ɑːɾ,guide,வழிகாட்டி  
ꢪꢵꢬ꣄ꢔꢣꢬ꣄ꢱꢒ꣄,मार्गदर्सक,மார்க3த3ர்ஸக்,maargadarsak,mArgadarsak,mārgadarsak,mɑːɾgəd̪əɾs̪ək,guide,வழிகாட்டி  
ꢥꣃꢒꣁ,नैका॑,நௌகொ,nauko',naukO,naukŏ,n̪əuko,boat,வள்ளம்  
ꢗꢾꢒ꣄ꢒꢸꢬ꣄,च॑क्कुर,செக்குர்,che'kkur,cEkkur,cĕkkur,t͡ʃekkuɾ,loop,வளையம்  
ꢘꢾꢡ꣄,छेत,சே2த்,chhe't,chEt,chĕt,t͡ʃʰet̪,sword,வாள்  
ꢨꢷ,बी,பீ3,bee,bI,bī,biː,seed,வித்து  
ꢨꢷꢒ꣄,बीक,பீ3க்,beek,bIk,bīk,biːk,seed,வித்து  
ꢨꢷꢙ꣄,बीज,பீ3ஜ்,beej,bIj,bīj,biːd͡ʒ,seed,வித்து  
ꢅꢪꢸ,ईमु,ஈமு,eemu,Imu,īmu,iːmu,seed,விதை  
ꢨꢷꢙ꣄,बीज्,பீ3ஜ்,beej,bIj,bīj,biːd͡ʒ,seed,விதை  
ꢨꢷꢡ꣄ꢡꢸ,वित्तु,வித்து,beettu,bIttu,bīttu,biːt̪t̪u,seed,விதை  
ꢨꢷꢒ꣄ꢕꢭ꣄ꢥꢶ,बीक्घल्नि,பீ3க்க4ல்னி,beekghalni,bIkghalni,bīkghalni,biːkgʰəln̪ɪ,sowing,விதைப்பு  
ꢩꢶꢫꢵꢬ꣄,भियार,பி4யார்,bhiyaar,bhiyAr,bhiyār,bʰɪjɑːɾ,business,வியாபாரம்  
ꢩꢶꢫꢵꢬ꣄ꢱꢵꢬ꣄,भियार्सार्,பி4யார்ஸார்,bhiyaarsaar,bhiyArsAr,bhiyārsār,bʰɪjɑːɾs̪ɑːɾ,business,வியாபாரம்  
ꢮꢠꢶ,वणि,வணி,vani,vaNi,vaṇi,ʋəɳɪ,businessman,வியாபாரி  
ꢮꢠꢶꢒ꣄,वणिक,வணிக்,vanik,vaNik,vaṇik,ʋəɳɪk,businessman,வியாபாரி  
ꢒ꣄ꢬꢸꢰꢶ,क्रुषि,க்ருஷி,krushi,kruSi,kruṣi,kɾuʂɪ,agriculture,விவசாயம்  
ꢙꢸꢥ꣄ꢥꢡ꣄ꢮꢵꢥ꣄,जुन्नत्वान,ஜுன்னத்வான்,junnatvaan,junnatvAn,junnatvān,d͡ʒun̪n̪ət̪ʋɑːn̪,farmer,விவசாயி  
ꢥꢖ꣄ꢔꢸꢥꢬ꣄,नङ्गुनर,நங்கு3னர்,nangunar,naGgunar,naṅgunar,n̪əŋgun̪əɾ,farmer,விவசாயி  
ꢦꢷꢒ꣄,पीक,பீக்,peek,pIk,pīk,piːk,yield,விளைச்சல்  
ꢦꢶꢒ꣄ꢒꢶꢥꢶ,पिक्किनि,பிக்கினி,pikkini,pikkini,pikkini,pɪkkɪn̪ɪ,yield,விளைச்சல்  
ꢦꢶꢒ꣄ꢒꢾꢫꣁ,पिक्क॑या॑,பிக்கெயொ,pikke'yo',pikkEyO,pikkĕyŏ,pɪkkejo,yield,விளைச்சல்  
ꢦ꣄ꢬꢒꢜ꣄ꢥꢵꢬ꣄,प्रकट्नार,ப்ரகட்னார்,prakat'naar,prakaTnAr,prakaṭnār,pɾəkəʈn̪ɑːɾ,publisher,வெளியிடுபவர்  
ꢦ꣄ꢬꢱꢸꢬꣁ ꢒꢾꢬ꣄ꢥꢵꢬ꣄,प्रसुरा॑ क॑र्नार,ப்ரஸுரொ கெர்னார்,prasuro' ke'rnaar,prasurO kErnAr,prasurŏ kĕrnār,pɾəs̪uɾo keɾn̪ɑːɾ,publisher,வெளியிடுபவர்  
ꢩꢬꢵꢜ꣄ ꢱꣁꢞ꣄ꢠꢵꢬ꣄,भराट सा॑ड्णार,ப4ராட் ஸொட்3ணார்,bharaat' so'd'naar,bharAT sODNAr,bharāṭ sŏḍṇār,bʰəɾɑːʈ s̪oɖɳɑːɾ,publisher,வெளியிடுபவர்  
ꢃꢓꢾꢜ꣄,आखेट,ஆகே2ட்,aakhe't',AkhET,ākhĕṭ,ɑːkʰeʈ,hunting,வேட்டை  
ꢪꢺꢔꢫꣁ,मृगया॑,ம்ருக3யொ,mri'gayo',mRgayO,mṛgayŏ,mɾɨgəjo,hunting,வேட்டை  
ꢮꢿꢜꣁ ꢓꢳ꣄ꢥꢶ,वेटा॑ खळ्नि,வேடொ க2ள்னி,vet'o' khal'ni,veTO khaLni,veṭŏ khal̤ni,ʋeːʈo kʰəɭn̪ɪ,hunting,வேட்டை  
ꢃꢓꢾꢜꢸꢮꢵꢥ꣄,आखेटुवान,ஆகே2டுவான்,aakhe't'uvaan,AkhETuvAn,ākhĕṭuvān,ɑːkʰeʈuʋɑːn̪,hunter,வேட்டைக்காரன் / வேடன்
ꢮꢿꢜꣁ ꢓꢳ꣄꣄ꢥꢵꢬ꣄,वेटा॑ खळ्नार,வேடொ க2ள்னார்,vet'o' khal'naar,veTO khaLnAr,veṭŏ khal̤nār,ʋeːʈo kʰəɭn̪ɑːɾ,hunter,வேட்டைக்காரன் / வேடன்
ꢒꢵꢪ꣄,काम्,காம்,kaam,kAm,kām,kɑːm,Work,வேலை
ꢒꢵꢪ꣄ ꢒꢾꢬ꣄ꢡ꣄ꢡꣁ,काम क॑र्ता॑,காம் கெர்த்தொ,kaam ke'rtto',kAm kErttO,kām kĕrttŏ,kɑːm keɾt̪t̪o,Servant (M),வேலைகாரன்
ꢒꢵꢪ꣄ ꢒꢾꢬ꣄ꢡ꣄ꢡꢶꢥ꣄,काम क॑र्तिन,காம் கெர்த்தின்,kaam ke'rttin,kAm kErttin,kām kĕrttin,kɑːm keɾt̪t̪ɪn̪,Servant (F),வேலைகாரி
ꢮꣁꢫ꣄ꢡꢸ,वा॑य्तु,வொய்து,vo'ytu,vOytu,vŏytu,ʋojt̪u,Folk doctor,வைத்தியர்
ꢙꣂꢱꢸꢜꢸ,जोसुटु,ஜோஸுடு3,josut'u,josuTu,josuṭu,d͡ʒoːs̪uʈu,astrologer,ஜோதிடம்
